Mine_ID,Latitude,Longitude,State,Mine_Name,Mine_Status,Substatus,Commodity,C1_Temperature,C2_Rainfall,C3_Faults,C4_Direct_Use,C5_Roads,C6_Railways,C7_Powerlines,C8_Ports,C9_Health,C10_Manufacturing,C11_Agriculture,C12_Education,C13_Data_Centres,C14_Built_Up,TOPSIS_Score,Rank,Suitability_Class
1,-32.5275,151.4197,NSW,Great Greta,Inactive mine,Closed,Cbl,31.5484,800.0,2.89809010412,51.7193184621,3.44762002694,16.5019001214,21.4358209146,54.3342881921,20.976193661,22.6088207163,16.8091437294,22.8851320965,55.598636661,12.7825621951,0.84303,10736,Suitable
2,-31.9317,141.5013,NSW,Potosi,Inactive mine,Historic,"Zn, Pb, (Ag, Au)",32.1165,250.0,46.6877492744,317.251615902,1.13424746355,2.48059272626,3.03666542375,353.609598482,2.01713733988,2.24397196087,277.803933691,4.58494838099,418.203740447,1.65410858391,0.782418,40606,Moderately Unsuitable
3,-33.3492,150.199,NSW,Angus Place,Inactive mine,Care and maintenance,Cbl,31.3732,800.0,77.8475341675,17.9624604725,8.71515382049,10.5667178507,4.9014290203,107.826850594,15.3526871513,15.618418646,57.3382779339,15.4922220766,65.4913098007,11.0298614498,0.831226,21421,Moderately Suitable
4,-32.9758,151.5769,NSW,Newstan,Inactive mine,Care and maintenance,Cbl,35.9693,1250.0,32.4284896006,23.741147747,2.55088706998,0.08214475878,0.23856904778,19.3154284487,2.59238796928,5.64932658363,19.1414335795,8.10763328025,19.3063278482,0.87981814469,0.871308,333,Suitable
5,-33.9967,150.4556,NSW,Brimstone,Inactive mine,Closed,Cbl,28.941,800.0,103.719998638,25.7093023252,7.19594411551,23.2680989504,7.21630474623,64.7607344849,21.2048274515,25.4391453997,25.4660508523,18.9690741937,28.1884488919,9.24002116037,0.822593,32044,Moderately Suitable
6,-32.7922,151.567,NSW,Bloomfield,Active mine,Operating,Cbl,34.7487,800.0,13.6675902819,22.9545145429,1.36459635005,2.19297931442,2.76672313394,23.4869954321,3.63676923622,5.20999394581,7.34441565279,4.80677949885,24.590989966,1.30594712035,0.848951,4451,Suitable
7,-33.5265,149.1588,NSW,Browns Creek,Inactive mine,Historic,"Cu, Au",40.6329,800.0,11.7334164501,54.9823516647,0.3943210534,4.28584266141,0.33936867375,189.84099015,8.49566794586,7.22326337544,98.1616246447,24.7230439076,144.586112378,7.39776197975,0.845473,8610,Suitable
8,-31.1629,145.6538,NSW,Endeavor,Active mine,Operating,"Cu, Ag, Zn, Au, Pb",33.0731,350.0,0.713824149872,337.011365749,11.6055753962,0.14313049576,0.62438856248,597.661165612,41.7948851915,306.213029185,212.954939879,40.2389788439,302.640301331,39.4801387202,0.74818,50632,Moderately Unsuitable
9,-33.7783,149.261,NSW,Kempfield,Inactive mine,Historic,"Ag, Zn, Pb, (Au, Brt, Asbr)",38.6192,800.0,3.27962872902,52.6350404491,5.62011892947,20.8289785525,14.7287496759,167.508711973,21.0952117295,28.777131905,84.2858528572,47.4103730914,132.5464169,8.18303345646,0.842421,11261,Suitable
10,-32.6017,152.181,NSW,Viney Creek,Inactive mine,Historic,"Ilm, Zrn, (Rt, Mnz, Mnsd)",33.8653,1250.0,21.9796443383,46.4608965714,3.64051264672,36.6936445483,5.09829156057,51.7329419108,7.07462832932,43.9771077875,49.3984427269,16.2748285471,52.2572489052,4.20896799323,0.865894,555,Suitable
